"table_name","column_name"
gst_filing_report_summary,id
gst_filing_report_summary,user_id
gst_filing_report_summary,user_name
gst_filing_report_summary,report_date
gst_filing_report_summary,no_of_ledgers
gst_filing_report_summary,report_status
gst_filing_returns,id
gst_filing_returns,gst_number
gst_filing_returns,filing_period
gst_filing_returns,gstr1_dof
gst_filing_returns,gstr1_status
gst_filing_returns,gstr3b_dof
gst_filing_returns,gstr3b_status
gst_filing_returns,cmp08_dof
gst_filing_returns,cmp08_status
gst_filing_returns,filing_preference
highlights_ledgers,id
highlights_ledgers,ledger_id
highlights_ledgers,category
highlights_ledgers,created_by
highlights_ledgers,created_date
highlights_ledgers,status
invoice_party_details,id
invoice_party_details,tally_guid
invoice_party_details,party_name
invoice_party_details,group_id
invoice_party_details,mobile_number
invoice_party_details,email_id
invoice_party_details,gst_number
invoice_party_details,place_of_supply
invoice_party_details,bill_to_address
invoice_party_details,ship_to_address
invoice_party_details,created_by
invoice_party_details,created_date
invoice_party_details,modified_by
invoice_party_details,modified_date
invoice_party_details,same_as_address
invoice_party_details,from_type
invoice_setting_options,id
invoice_setting_options,u_uuid
invoice_setting_options,is_inv_sequence
invoice_setting_options,inv_prefix
invoice_setting_options,inv_seq_number
invoice_setting_options,is_inv_item_desc
invoice_setting_options,is_payment_terms
invoice_setting_options,is_due_date
invoice_setting_options,is_po_no
invoice_setting_options,is_eway_bill_number
invoice_setting_options,is_vehicle_number
invoice_setting_options,created_by
invoice_setting_options,created_date
invoice_setting_options,modified_by
invoice_setting_options,modified_date
invoice_setting_options,is_terms_and_condition
invoice_setting_options,template
invoice_setting_options,color
item_gst_details,id
item_gst_details,master_item_id
item_gst_details,hsn_code
item_gst_details,gst_applicable_from
item_gst_details,taxability
item_gst_details,calculation_type
item_gst_details,is_reverse_charge_applicable
item_gst_details,hsn_desc
item_gst_details,is_ineligible_for_input_credit
item_gst_details,is_non_gst_goods
item_gst_details,igst_rate
item_gst_details,cgst_rate
item_gst_details,sgst_rate
item_stock_summary,id
item_stock_summary,date
item_stock_summary,particulars
item_stock_summary,voucher_type
item_stock_summary,vch_no
item_stock_summary,inwards_qty
item_stock_summary,inwards_value
item_stock_summary,outwards_qty
item_stock_summary,outwards_value
item_stock_summary,closing_qty
item_stock_summary,closing_value
item_stock_summary,is_bills_pending
item_stock_summary,stock_vch_track_qty
item_stock_summary,acc_name
item_stock_summary,item_id
item_stock_summary,pending_bill_transaction_date
ledger_budget_data,id
ledger_budget_data,ledger_id
ledger_budget_data,ledger_name
ledger_budget_data,budget_date
ledger_budget_data,amount
ledger_closing_balances,id
ledger_closing_balances,tally_guid
ledger_closing_balances,ledger_name
ledger_closing_balances,closing_balance
ledger_closing_balances,altered_by
ledger_closing_balances,altered_date
ledger_closing_values,id
ledger_closing_values,ledger_tally_guid
ledger_closing_values,date
ledger_closing_values,amount
ledger_closing_values,amount_type
ledger_contact_details,id
ledger_contact_details,name
ledger_contact_details,ledger_id
ledger_contact_details,contact_number
ledger_contact_details,email_id
ledger_contact_details,created_by
ledger_contact_details,created_date
ledger_contact_details,modified_by
ledger_contact_details,modified_date
ledger_language_names,id
ledger_language_names,tally_guid
ledger_language_names,name
ledger_language_names,language_id
ledger_opening_bal,id
ledger_opening_bal,tally_guid
ledger_opening_bal,opening_bal
ledger_opening_bal,created_by
ledger_opening_bal,created_date
ledger_opening_bal,opening_bal_type
ledger_opening_bal_billwise_breakup,id
ledger_opening_bal_billwise_breakup,date
ledger_opening_bal_billwise_breakup,tally_guid
ledger_opening_bal_billwise_breakup,name
ledger_opening_bal_billwise_breakup,due_date_or_credit_days
ledger_opening_bal_billwise_breakup,amount
ledger_opening_bal_billwise_breakup,type
ledgers,id
ledgers,tally_guid
ledgers,group_id
ledgers,name
ledgers,created_by
ledgers,created_date
ledgers,modified_by
ledgers,modified_date
ledgers,address
ledgers,address1
ledgers,address2
ledgers,address3
ledgers,address4
ledgers,address5
ledgers,country
ledgers,state
ledgers,pincode
ledgers,bank_details
ledgers,pan_no
ledgers,gstn_uin
ledgers,gst_registration_type
ledgers,acc_holder_name
ledgers,ifsc_code
ledgers,bank_name
ledgers,is_gst_applicable
ledgers,set_alter_gst_details
ledgers,type_of_supply
ledgers,is_tds_applicable
ledgers,maintain_balances_bill_by_bill
ledgers,default_credit_period
ledgers,check_for_credit_days_during_voucher_entry
ledgers,cost_centres_applicable
ledgers,inventory_values
ledgers,ledger_currency
ledgers,type_of_ledger
ledgers,active_interest_calculation
ledgers,mail_id
ledgers,contact_number
ledgers,bank_branch_name
ledgers,entry_from
ledgers,sync_status
ledgers,mailing_name
ledgers,gst_duty_head
ledgers,ship_to_address
ledgers,same_as_address
ledgers,update_status
order_details,id
order_details,order_ref
order_details,order_terms
order_details,mode
order_details,voucher_id
original_invoice_details,id
original_invoice_details,order_date
original_invoice_details,order_no
original_invoice_details,voucher_id
party_and_overdue_bills_alerts,id
party_and_overdue_bills_alerts,alert_type
party_and_overdue_bills_alerts,alert_amount
party_and_overdue_bills_alerts,alert_frequency
party_and_overdue_bills_alerts,alert_email_status
party_and_overdue_bills_alerts,alert_notification_status
party_and_overdue_bills_alerts,u_uuid
party_and_overdue_bills_alerts,tc_uuid
party_and_overdue_bills_alerts,created_by
party_and_overdue_bills_alerts,created_date
party_and_overdue_bills_alerts,modified_by
party_and_overdue_bills_alerts,modified_date
party_details,id
party_details,party_name
party_details,mailing_name
party_details,address
party_details,country
party_details,state
party_details,voucher_id
party_details,gstin_uin
party_details,place_of_supply
pdf_alert_configuration,id
pdf_alert_configuration,alert_pdf_type
pdf_alert_configuration,alert_period
pdf_alert_configuration,alert_email_status
pdf_alert_configuration,alert_notification_status
pdf_alert_configuration,u_uuid
pdf_alert_configuration,tc_uuid
pdf_alert_configuration,created_by
pdf_alert_configuration,created_date
pdf_alert_configuration,modified_by
pdf_alert_configuration,modified_date
query_group,id
query_group,group_name
query_group,status
query_group,created_by
query_group,created_date
query_group,modified_by
query_group,modified_date
razorpay_payment_links,id
razorpay_payment_links,payment_description
razorpay_payment_links,amount
razorpay_payment_links,email
razorpay_payment_links,phone_number
razorpay_payment_links,ref_no
razorpay_payment_links,payment_link
razorpay_payment_links,created_date
razorpay_payment_links,payment_link_id
razorpay_payment_links,payment_status
relevant_questions,id
relevant_questions,question_id
relevant_questions,question
relevant_questions,status
relevant_questions,created_by
relevant_questions,created_date
relevant_questions,modified_by
relevant_questions,modified_date
remarks,id
remarks,remarks
remarks,ref_id
remarks,ref_type
remarks,created_by
remarks,created_date
remarks,modified_by
remarks,modified_date
remarks_history,id
remarks_history,remarks
remarks_history,ref_id
remarks_history,ref_type
remarks_history,created_by
remarks_history,created_date
remarks_history,modified_by
remarks_history,modified_date
search_questions,id
search_questions,question
search_questions,question_tokens
search_questions,parameters
search_questions,type
sg_go_sc_summary,id
sg_go_sc_summary,particulars
sg_go_sc_summary,qty
sg_go_sc_summary,rate
sg_go_sc_summary,value
sg_go_sc_summary,type
sg_go_sc_summary,identifier_name
stock_category,id
stock_category,tally_guid
stock_category,name
stock_category,parent_id
stock_category,created_date
stock_category,modified_date
stock_group,id
stock_group,tally_guid
stock_group,name
stock_group,parent_id
stock_group,created_by
stock_group,created_date
stock_group,modified_by
stock_group,modified_date
stock_group,units
stock_group,costing_method
stock_group,valuation_method
stock_group,is_reverse_charge_applicable
stock_group,is_gst_applicable
stock_group,gst_applicable_from
stock_group,taxability
stock_group,igst_rate
stock_group,cgst_rate
stock_group,sgst_rate
stock_item_batch_allocations,id
stock_item_batch_allocations,stock_item_tally_guid
stock_item_batch_allocations,godown_id
stock_item_batch_allocations,opening_bal
stock_item_batch_allocations,opening_value
stock_item_batch_allocations,opening_rate
stock_item_bom,id
stock_item_bom,stock_item_id
stock_item_bom,bom_id
stock_items,id
stock_items,tally_guid
stock_items,name
stock_items,unit
stock_items,stock_group_id
stock_items,master_unit_id
stock_items,gst_applicable
stock_items,is_tcs_applicable
stock_items,rate_of_duty
stock_items,created_by
stock_items,created_date
stock_items,modified_by
stock_items,modified_date
stock_items,godown_id
stock_items,initial_opening_bal
stock_items,initial_opening_rate
stock_items,initial_opening_value
stock_items,opening_bal
stock_items,opening_rate
stock_items,opening_value
stock_items,costing_method
stock_items,valuation_method
stock_items,allow_use_of_expired_items
stock_items,stock_category_id
stock_items,is_bom_applicable
stock_items,closing_balance
stock_items,closing_value
stock_items,item_code
stock_items,as_of_date
stock_items,tax_type
stock_items,save_type
stock_items,gst_rates_id
stock_items,entry_from
stock_items,sync_status
stock_units,id
stock_units,tally_guid
stock_units,unit_name
stock_units,unit_orginal_name
stock_units,gst_rep_uom
stock_units,narration
store_inventory_user_settings,id
store_inventory_user_settings,enable_group
store_inventory_user_settings,enable_category
store_inventory_user_settings,enable_selling_price
store_inventory_user_settings,enable_negative_stock
store_inventory_user_settings,min_enquiry_amount
store_inventory_user_settings,created_date
store_inventory_user_settings,created_by
store_inventory_user_settings,modified_date
store_inventory_user_settings,modified_by
store_item_attachments,id
store_item_attachments,store_item_id
store_item_attachments,attachment_url
store_item_attachments,created_date
store_item_attachments,created_by
store_item_categories,id
store_item_categories,tally_guid
store_item_categories,name
store_item_categories,created_date
